rating,comment
1,"Lo compre hace una semana cuando estaba con 10% de descuento.
El celular que debes si o si comprar!!.
Pros para su precio.
Pantalla hermosa con luminosidad increíble!!.
Velocidad para abrir aplicaciones superior vs samsung u oppo del mismo precio.
Tamaño y peso justo el exacto que necesitas.
Sonido muy alto pero no de la calidad de otros.
Si tienes internet de alta velocidad en mi caso 200 metas esté equipazo si los soporta al nivel!!.
Cuando descargas e instalas aplicaciones lo hace súper rápido!! no como samsung que tarda mucho cuando instalas.
Juegas? soporta de manera justa (nada extraordinaria) pero juegas porque juegas!!.
Precio es la joya de la corona porque cada centavo que pagas el celular te regresa 5 veces por lo que ofrece!!.
Si comparas este con otra marca del mismo precio poco m5s gana por muchísimo."
1,"Lo compré apenas el 23 mayo 23 me encantó el producto, el precio, la calidad. Es compatible con bait, tenía su funda de silicon y su cargador es europeo pero trae el adaptador americano embona muy bien. Doy mi opinión por q considero los comentarios de los demás para mis futuras compras sin el afán de quedar bien con nadie ni de favorecer algún producto. Solo una humilde opinión. En general muy buena elección."
1,El producto asta el momento me a funcionado bien me encantó ella calidad de la pantalla y su almacenamiento está bien me gustó el audio que tiene es sonido estereo tiene bocinas una abajo y otra arriba aparte de que tiene nfc muy útil para el inflarojo me encantó el producto muy bueno la verdad lo único que no me gusta que el cargador es tipo europeo pero nada que un adaptador americano no pueda solucionar pero todo muy bien tiene 6 de ram y 2 de ram virtuales súper recomendable. 😁.
1,"Me pareció excelente calidad precio por ahora no me ha fallado , la pantalla se ve muy bien y el color está hermoso agarra muy bien los juegos yo juego el cod y lo corre muy bien en cuanto a camara la cámara de frente se pixeles un poco pero eso es a falta de luz pero igual le falta un poco más de nitidez por ahora no he checado todo pero por ahora bien la batería si dura pero si tienes mucho uso si se gasta."
1,"8gb de ram + 3gb virtuales, 256gb de almacenamiento, nfc, amoled display, doble parlante estereo de alto volumen y un procesador gama media para juegos por $3600. 00? no sé ustedes, pero no se encuentra algo mejor con la competencia.
La cámara frontal en pantalla se ve pésimo, pero una vez tomada la foto se ve excelente con el posprocesado, cámara trasera a la altura de un gama media.
La batería dura lo que tiene que durar para un día completo.
Estoy satisfecho con mi compra y es un teléfono que estoy recomendando a quien se me cruce enfrente xp."
1,"En general es muy buen equipo; rápido, excelente cámara, buen procesador, etc. Lo que no me gusto es que el cargador es europeo y trae un convertidor a entrada americana pero queda muy largo y pesado y esto provoca que se termine venciendo y desconectando."
0,"Tengan cuidado, no le regalen su dinero a ésta gente vividora. Ví comentarios malos del producto pero me dejé llevar porque habían más opiniones buenas. A un mes de la compra se apagó de la nada y no volvió a encender jamás. ¿cómo es posible ésto? me imagino que son clones o celulares reacondicionados, lo cual no especifican, dudo mucho que a un original le haya pasado ésto. Espero poder proceder con la profeco. No pierdan tiempo y dinero."
0,"No cuenta con la función de doble espacio además de otras que si tienen otros teléfonos del mismo model, las aplicaciones se detienen solas, además de traer un cargador europeo."
0,"Lo devolví y no me an reembolsado mi dinero , quiero mi dinero."
1,"Excelente equipo, llevo una semana de uso y no e tenido problemas, la batería le dura bastante y en general el quipo responde muy bien."
1,"Buen celular, solo que haces se le va la señal y lo tengo que reiniciar 😏."
1,"Con estos productos ya van 3 que compro, excelentes por precio-calidad."
1,"El dispositivo está muy bien para el precio, todo lo que ofrece vale mucho la pena, le doy 4 estrellas, porque viene con un cargador europeo y el adaptador que te mandan es de pésima calidad y es muy pequeño con respecto a los pines, entonces tienes comprar uno aparte y es un fastidio tener que andar buscando uno."
1,"En general creo que es una buena adquisición, ya que venía del poco m3 y el costo fue casi el mismo."
0,"El producto es bueno, lo malo que engañaron y no trae el cubo de carga."
0,Se calienta demasiado.
0,"Aspectos en los que se nota bien.
Pantalla de 10.
Tamaño excelente.
Velocidad 10.
Camara en mi caso no soy de fotos lo veo bien.
Memoria,más que excelente.
Cosas que no me gustaron.
Se calienta como un horno ,no puedo utilizar el brillo más de 30% porque se incendia el celular y eso hace que se drene la batería en cuestión de minutos,para ser de 5000 mah no parece en lo absoluto,y ni hablar de cargarlo ,tuve un celular de 5000mah y con carga rápida de 50wats y se calentaba pero comprado con el poco m5s,es una bomba.
En mi opinión no lo compres ,solo te quejarás de la batería y que se calienta, y eso que es nuevo el celular jajaja."
0,"No compren, se calienta mucho y no te sirve nada."
1,"Me a encantado!!! <3, simplemente de los mejores celulares que e comprado por lo que vale. Es mega veloz por su ram y procesador , ademas puedo jugar genshin impact aunque por tratarse de un procesador mediatek almenos en graficos bajos-medios para ir fluido y sin perdida de fps ( esto lo digo ya que genshin es de esos pocos juegos que consumen muchos recursos) de ahi en fuera va muy fluido para otros juegos que inclusive puedes ponerlos al max en graficos , las apps las corre de maravilla y la camara trasera una joya mientras que la frontal pues puedo decir que la calidad estandar , de esa no te esperes mucho y para finalizar el audio esta decente. Sin duda es un gran dispositivo lo recomiendo."
0,Se calienta mucho el dispositivo y el cargador.
1,Es un celular muy bueno para su precio su pantalla es lo mejor su batería carga rápida de 33vv y lo bueno es que puedes agregarle más almacenamiento al celular lo que otros teléfonos ya no tienen lo he estado probando en juego como el free fire al máximo y caloff y entre otros juegos y la verdad es que va fluido lo único malo que no me gustó es que el cargador no es americano es europeo pero de ahí en fuera 10/10 perdón por tardarme en decirlo jeje es que lo estaba probando pero 100 💯 banda.
0,"Tiene muy mala recepción de señal, se cortan continuamente las llamadas, es por eso que haré la devolución."
1,Súper buen teléfono en relación precio calidad.
1,"Excelente teléfono calidad-precio para un teléfono inferior a 4,000. 00 (3,800. 00), a siempre será un xiaomi recargado. En este caso es un redmi 10s con software actualizado hoy en día androide 12 miui 13 , excelente pantalla oled con gran brillo y a pesar de ser de 60hz fluye muy bien. , el ser un helio 95 le da muy buen desempeño, sobre todo porque permite subir la ram a 8gb, con rendimiento similar a un snapdragon 732g.
Las cámaras son promedio estándar, nada que resaltar, pero con buen desempeño.
Sonido estereo, infrarrojo, nfc, bt 5. 1.
Compre 3 y salieron guerreros para el día a día.
Al principio hay que borrar todo el software con publicidad que trae de más, juegos, aplicaciones para productividad, etc. E instalar las que uno usa.
Y como ultimo teléfono ligero, delgado y con bateria de 5000mha."
0,No sirven sus productos se pasó un día con la garantía y está adefectuoso de fabrica tiene la bocina tronad como el cel fue un regalo a una persona de la 3ra edad no sabía de el defecto en fin no gasten ya que sus productos no sirven.
1,"Excelente producto, de la mejor calidad, la pantalla es amoled, funciona bastante bien, las cámaras tienen una excelente definición, me deja satisfecho. 👌🏻😎."
0,En primera no cuenta con los aditamentos necesarios todo equipo debe ser provisto de cargador de acuerdo a la zona donde lo comercializan.
0,"Dudo mucho lo de la garantía, yo compré uno y así como lo compre al usarlo le salió una línea a la pantalla, mande mensaje y me hicieron mandar evidencia por fuera de mercado libre y desde ahí mi compra segura quedó afectada y sin garantía, pésimo."
1,"Satisfecho con la funcionalidad, calidad, desempeño y estética del dispositivo. Lo recomiendo si buscas las 3 b (bueno, bonito y barato)."
0,"No tiene ni una semana ,se caliente mucho y en la pantalla de los lados se pone azul 😰."
0,Se calienta mucho tiene mala calidad en las fotos trada mucho en cargar.
1,"Me gustó muuuucho, el precio que tome fue de 3200 y wow para un cel de 6 de ram y 120gb me pareció bien, solo que al usarlo mucho tiempo se agota rápido la batería. Lo uso por mi trabajo 8 horas sin parar de 100 baja a 52 al terminar mi turno, creo yo que dura poco pero cada quien.
Lo que si me pareció algo mal fue que se calienta muy rápido cuando juego, juego mobile legends y cod mobile y no pasan ni 5 minutos cuando ya está caliente. Si tienes al menos 3 aplicaciones en segundo plano se empieza a trabar el audio y eso que es de 6 de ram, pero si no se le exige demasiado es bueno por qué te permite tener altos los gráficos y los colores uff me encanta, tiene buen brillo apresar que lo tengo muy bajo, el volúmen se escuchan de ambos lados del teléfono, la cámara pues casi no la uso por qué soy feo jaja pero al tomarle fotos a mis gatos las toma muy claras y con color hermoso. Si agarras este teléfono en oferta y tienes poco money este es tu teléfono bro. No me arrepiento en comprarlo ya que tenía un xiaomi c10 , nada que ver xd mucho más rápido. Olvidé mencionar el micrófono? es estupendo.
Saludos!."
0,3 meses de uso y ya se apago y ya no enciende.
0,"Muy malo, 😢 nuevo pero salió defectuoso.
La suerte de uno."
0,"Se calienta mucho y batalla mucho para abrír aplicaciones, no lo recomiendo."
1,"Poco nunca falla con su calidad precio, este fue un celular para mí hermana, cómo equipo de entrada cabe destacar que no encontrarás nada mejor por 4k o menos , es para usuarios que lo van a ocupar para redes sociales juegos básicos y demás. Bugs que con un simple reinicio no se solucione, repito mejor opción para equipo de entrada no hay."
1,"Muy bueno,me sorprendio la velocidad de procesar y reproducir juegos, pantalla con buena resolucion, ademas que tiene entrada para extender memoria y doble chip, au que uno fallo, el otro trabajo sin problema y reconocio enseguida la red. Un excelente equipo que volveria a comprar."
1,"El producto está súper bien, ahora sí que como en los memes, xiaomi es lo mejor en calidad-precio, anteriormente tuve otro pero no me gustó, decidí darle otra oportunidad a xiaomi y con este teléfono la verdad que no me decepcionó para nada, y las fotos son majestuosas, el rendimiento para juego estabien tan bien, lo uso para el día a día y para tomar fotos así que fue la mejor compra."
0,Pues medio malo. La cámara fatal. En llamada se escucha feo con sonidos extraños la batería su le dura pero no es lo que esperaba o se decía d ello.
0,Está muy lenta más que la versión samsung de 2ram que acabo de cambiar por este que salió más malo que el anterior y luego la señal wifi pésima.
0,"La verdad me parecia una buena opción que encontré pero me salió el tioro por la culata el celular tiene muchas fallas y muchas lo dijo encerio la verdad estoy en duda que sea original se traba el sistema no puedo salir de aplicaciones ,la cámara nada que ver parece de menos pixeles."
0,"Engaño total, no es el producto que compre."
0,"Es un producto caro para lo que promete,acostumbro a hacer video llamadas y jugar con mi hijo y con este equipo no se puede se corta la comunicación además se calienta mucho y eso que no se utilizo mucho en juegos realmente no lo recomiendo es. Mejor ahorrar más y comprarse uno más bueno yo. Pensé que los 8 g y los 255 de almacenamiento servirían pero ya veo que no si estas pensando comprar este equipo mi recomendación seria no lo hagas."
0,El teléfono se calienta mucho.
1,Vengo del xiaomi redminote 7. Obvio que se siente súper mejor!!! me gustó (algo que muchos critican) que su estructura es de plástico (mientras que mi antiguo celular era de metal) y se siente muy ligero y eso me encanta.
0,Funciona bien lo malo esque no trae cargador americano al jugar algunos juegos se calienta y la pila no duró tanto en cámara toma mui bonitas fotos y si es algo rápido.
0,Cómo puedo regresar el producto. La verdad no muy sirve.
0,Ya no sirve el centro de carga.
0,En la caja no venía el cargador solo el cable.
0,"Muy malo se calienta mucho hubieron veces que me saco de la cámara segun por sobrecalentamiento, además de eso se traba mucho y la bocina al momento de jugar una app suena muy feo como si tuviera interferencia.
Se los pensaba devolver pero por que realmente necesitaba el equipo y por lo tardío que me imagine que sería mejor lo deje así.
Espero y pudieran hacer algo al respecto, se los agradecería.
Buenas noches y gracias!."
0,"Se jalonea muchísimo al jugar y la verdad que a baja calidad, en alta definición y cuadros por segundo altos, no da el rendimiento que dice tener."
0,Algo curioso no lo he golpeado ni se me ha caido. Y así de repente le aparecio una pequeña escoriacion en la pantalla.
0,Es una estafa pierde la señal la cámara igual de pésima calidad en pocas palabras es una basura.
1,"El producto es bastante bueno, específicamente por el precio. No obstante, aunque la pantalla amoled es de una calidad media, se puede ver en el efecto anti flicker que tiene ciertos detalles. La batería dura hasta dos días, aunque eso sí, depende de la utilidad que se le dé. El procesador tiene muy buen rendimiento incluso en juego, pudiendo soportar hasta gráficos altos y 60 fps en call of duty, eso sí se calienta con el tiempo. La calidad de la cámara es también buena en tanto a colores y nitidez, pero su problema está en el contraste, ya que las sombras no las maneja de manera apropiada el sensor."
1,"El producto llegó rápido, es original, viene completo 10/10 la verdad lo recomiendo, las cámara, el sonido, todo, es hermoso, lo recomiendo 100% confíen y compren, jamás se arrepentirán !!!."
0,"Se calienta mucho , no lo volvería a comprar."
0,La verdad no es nada lo que ofrecen dice que es de 8 ram debería correr bien juegos y se traba además tiene varios bugs el teléfono hasta creo que es pirata.
0,"No pude saber nada del equipo porque me salio defectuoso, no tuve ningun problema para hacer la decolucion pero ya no me dejo comprar otro equipo igual. Asi que no puedo recomendar nada acerca de ese modelo."
0,"Le pongo 1 estrella porque lo compré con el único fin de usarlo como módem inalámbrico (y así poder usar los datos del celular en la laptop) y resulta que no funciona. Se desconecta cada 10 segundos y no puedo jugar en la laptop. He probado con otros celulares y este problema no sucede. Por esa razón considero que el producto no es del todo bueno.
También el programa de accubattery me marca que la batería tiene solamente 4,000 mah de capacidad, y no los 5,000 que se listan. Así que obtuve un producto con batería defectuosa y con conectividad inalámbrica también defectuosa."
0,"Malo, apenas un poco más de un mes y ya no funciona para llamadas."
0,Es el segundo equipo de xiaomi que compro con ellos y ambos faltaron después del mes ambos del micrófono y no hacen válida la garantía.
0,De mala calidad puesto que de un día para otro lo puse a cargar y la pantalla ya nose vio.
1,"Buen teléfono, es ágil y potente para su precio; carga muy rápido, pero tiende a calentarse mucho en las sesiones de juego."
1,"Es un buen teléfono calidad precio, toma buenas fotos y va fluido en todo sin problema, el detalle que al jugar juegos como call of duty se calienta muy rápido y es algo incómodo y molesto, pero de ahy en adelante todo funciona a la perfección aparte de que carga muy rápido pero la duración de la batería no es tan optimizada. En fin espero mi opinión los ayude."
1,"Excelente solo que la batería no dura como dice, pero es un cel excelente."
1,El producto llegó sellado y con pocos días de uso su desempeño es genial. La batería dura poco más de un día con un uso moderado. La cámara es buena.
0,No te mandan el producto.
0,"Bueno en mi experiencia, el dispositivo en diciembre del año anterior y desde hace unos 15 dias me llaman y no me escuchan se le daño el micrófono muy rápido y no se cuanto salga la reparación, quizá vino con algún defecto de fabrica."
0,El celular no sirvió.
0,Al primer día que lo usé se calienta y la batería se consume rápido ay momentos en los que la pantalla carga unos segundo se supone que debe ser fluido y rápido y para lo que llevo de usarlo el teléfono si me defraudó nose por que me dieron un dispositivo mal funcional. Llevo poco con el y no puedo ni jugar una partida en el ya que es muy rápido en calentarce se supone que es nuevo.
0,"En lo personal, este equipo tiene un defecto, no agarra el internet, tiene problemas de conección con wifi y bluetooth."
1,El celular es bueno pero en la duración de la batería deja mucho que desear para ser un celular nuevo.
0,Esta muy bonito el diseño pero se traba mucho tarda en abrir las aplicaciones 2 o 3 veces cambiaba el tono de color de la pantalla.
0,"Malo puesto que el poco m3 que es modeló más viejo se lo lleva de calle en velocidad teniendo 4 de ram,se conecta mejor al wifi, mejor camara y nitidez en pantalla etc. Me animé por el m5s pensando que sería mejor y resultó lo contrario, para mí si fue mala compra."
1,Muy bien producto para su precio.
0,"Mala señal, má el touch."
0,No funciona la antena nfc.
0,"Te mienten, la cámara no es de 108 mp, apenas llega a 64."
0,No me sirvió la camara mal equipo.
0,"Me parece bien; sin embargo, la batería se agota muy rápido."
1,El cargador podría ser americano no europeo.
0,El procesador y la pantalla son buenos pero la calidad de los materiales del teléfono deja mucho que desear. No llevo más de dos meses de uso y el botón con sensor de huella dejó de funcionar correctamente. Los botones se ven frágiles. La cámara es decente y la batería dura aproximadamente un día.
1,Literalmente no me deja abrir la app de mercado libre jajaja.
0,La cámara no en foca bien las fotos.
0,"Es publicidad falsa dice es de 108 y 20 mp las cámaras y solo llega de 64 y 16, y al reclamar dicen no existe con 108 mp que si existe obvio fue por lo único que les compré muy mala experiencia la verdad."
1,"El celular es muy bueno asta ahora me a funcionado muy bien. Solo que se calienta pero eso por el clima que ases pero cuando estas con un clima no es tanto ,en juego va full lo tengo en gráficos bajo y fps altos en gráficos muy alto se puede poner pero da bajones corre muy bien solo que no te pases de lanza y te pongas a jugar el cartx treet por qué lo corre como calificación de de un morro de conalep osea de panzaso en camaras si pones los 64mp está berri nais en redes sociales va muy bien y ps es un buen calidad precio ahy ya me acordé la carga rápida está muy nais me despierto a las 8 y juego todo el día asta las 5 max llega al 6% ,la pantalla está muy buena , no e tenido ningún problema asta aquí lo reporte juaquin ya escribí una biblia y ya tengo que ir a cenar , conclusión muy buena elección para 2023 y futuramente 2024."
0,Se traba el celular se reinicia solo funciona como 5 min y deferente se reinicia luego dequeda trabajando al ecender.
1,Llevo casi un mes usándolo y hasta el momento todo bien.
